influencer_id,name,category,gender,follower_count,platform
1,Brenda Cruz,Tech,Male,494930,Twitter
2,Kristy Stephens,Beauty,Other,411556,YouTube
3,Eric Sheppard,Lifestyle,Male,299018,Twitter
4,James Howard,Beauty,Male,180349,YouTube
5,Michael Barnes MD,Lifestyle,Other,335401,Twitter
6,Karen Mendoza,Beauty,Other,149275,Twitter
7,Abigail Brewer,Fitness,Female,163458,YouTube
8,Shirley Dean,Tech,Other,18418,Twitter
9,Brandi Sanchez,Tech,Female,342874,Instagram
10,Victoria Taylor,Beauty,Female,228525,Twitter
11,Amanda White,Tech,Other,46735,YouTube
12,Justin Gray,Beauty,Female,214913,Instagram
13,Gary Hayes,Fitness,Other,202294,Twitter
14,Rachel Dean,Fitness,Male,420798,YouTube
15,Amy Park,Nutrition,Other,477891,Twitter
16,Jessica Taylor,Lifestyle,Female,146184,Instagram
17,Alyssa Kelley,Tech,Other,211878,Instagram
18,Jose Cooke,Lifestyle,Other,208467,Instagram
19,Andrew Young,Lifestyle,Other,322279,YouTube
20,Robert Morgan,Lifestyle,Male,437857,Instagram
21,Melissa Kennedy,Nutrition,Other,135953,Twitter
22,Karen Lopez,Beauty,Male,431341,Twitter
23,Stephanie Keith,Nutrition,Female,486081,Instagram
24,John Valdez,Beauty,Male,77787,Instagram
25,Jacob Mitchell,Tech,Female,94437,Instagram
26,Antonio Martinez,Fitness,Male,408673,YouTube
27,Sabrina Smith,Nutrition,Female,90742,Twitter
28,Susan Jensen,Fitness,Other,463967,YouTube
29,Christina Lopez,Lifestyle,Female,107358,Instagram
30,Nathan Lee,Fitness,Male,67076,Instagram
31,Lance Wilson,Beauty,Male,328655,Instagram
32,Charlene Robinson,Tech,Male,34955,Instagram
33,Stephen Taylor,Lifestyle,Female,72477,YouTube
34,Marc Huynh,Fitness,Female,206474,Twitter
35,Robert Chase,Tech,Male,182157,Instagram
36,Dwayne Copeland,Tech,Male,123987,Twitter
37,Michael Ball,Nutrition,Male,63784,YouTube
38,Suzanne Miller,Beauty,Other,351853,Twitter
39,Patrick Vincent,Fitness,Male,161398,YouTube
40,Jeffrey Arroyo,Nutrition,Other,98080,Instagram
41,Sarah Mullins DDS,Tech,Other,474532,YouTube
42,Janet Delgado,Fitness,Female,114194,Instagram
43,Jeffrey Wood,Lifestyle,Other,82766,Twitter
44,Shaun Zimmerman,Nutrition,Other,48516,Twitter
45,Luis Roach,Fitness,Male,268167,Instagram
46,James White,Lifestyle,Male,401722,YouTube
47,Connie Lawrence,Beauty,Female,480308,YouTube
48,Renee Williams,Lifestyle,Male,270031,Twitter
49,Nathaniel Glass,Lifestyle,Male,260340,Instagram
50,John Smith,Tech,Male,198725,YouTube
